date,Brent_Crude_Oil,WTI_Crude_Oil,Electricity_Price_USA,Heating_Oil_Price_USA,Natural_Gas_Imports_From_Canada_USA,Natural_Gas_Imports_USA,Natural_Gas_Rotary_Rig_Count_USA,Natural_Gas_Total_Consumption_USA,Total_Natural_Gas_Marketed_Production_USA,Total_Natural_Gas_Underground_Storage_Volume_USA,BCOMCL_INDX,BCOMGC_INDX,BCOMHG_INDX,BCOMNG_INDX,CSI300_INDX,DJI_INDX,DXY_INDX,GSPC_INDX,IXIC_INDX,NYA_INDX,USDEUR_FOREX,XAX_INDX,CPI_Energy_Seasonally_Adjusted_USA,CPI_Index_Seasonally_Adjusted_USA,Fed_Fund_Effective_USA,Kilian_Global_Economy_Index_WORLD,PPI_Manufacturing_Sector_USA,PPI_Mining_Sector_USA,CLI_Comp_Bank_Activity_JPN,CLI_Comp_Business_Situation_DEU,CLI_Comp_Business_Situation_KOR,CLI_Comp_Business_Situation_USA,CLI_Comp_Cars_Registrations_Or_Sales_GBR,CLI_Comp_Cars_Registrations_Or_Sales_IND,CLI_Comp_Construction_JPN,CLI_Comp_Construction_Production_CHN,CLI_Comp_Construction_USA,CLI_Comp_Consumer_Confidence_DEU,CLI_Comp_Consumer_Confidence_GBR,CLI_Comp_Consumer_Confidence_USA,CLI_Comp_Consumer_Prices_GBR,CLI_Comp_Demand_Or_Orders_Inflow_Tendency_DEU,CLI_Comp_Export_Orders_Tendency_DEU,CLI_Comp_Finished_Goods_Stocks_Tendency_DEU,CLI_Comp_Hours_JPN,CLI_Comp_Hours_USA,CLI_Comp_Interest_Rate_Spread_DEU,CLI_Comp_Interest_Rate_Spread_JPN,CLI_Comp_Interest_Rate_Spread_KOR,CLI_Comp_Interest_Rate_Spread_USA,CLI_Comp_Inventories_To_Shipments_KOR,CLI_Comp_Monetary_Aggregates_IND,CLI_Comp_Net_Trade_JPN,CLI_Comp_Orders_DEU,CLI_Comp_Orders_USA,CLI_Comp_Production_Of_Goods_IND,CLI_Comp_Production_Of_Nonmetallic_Products_IND,CLI_Comp_Production_Tendency_GBR,CLI_Comp_Sales_Expectations_JPN,CLI_Comp_Services_Demand_Expectations_DEU,CLI_Comp_Share_Prices_GBR,CLI_Comp_Share_Prices_IND,CLI_Comp_Share_Prices_JPN,CLI_Comp_Share_Prices_KOR,CLI_Comp_Share_Prices_USA,CLI_Comp_Short_Term_Interest_Rate_GBR,CLI_Comp_Short_Term_Interest_Rate_IND,CLI_Comp_Stocks_JPN,CLI_Comp_Stocks_KOR,CLI_Comp_Terms_Of_Trade_KOR,Composite_Leading_Indicator_CHN,Composite_Leading_Indicator_DEU,Composite_Leading_Indicator_GBR,Composite_Leading_Indicator_IND,Composite_Leading_Indicator_JPN,Composite_Leading_Indicator_KOR,Composite_Leading_Indicator_USA,Comprehensive_PMI,Construction_PMI,M_PMI_Comp_Employment,M_PMI_Comp_Expected_Production_and_Business_Activities,M_PMI_Comp_Finished_Goods_Inventory,M_PMI_Comp_Import,M_PMI_Comp_In_Hand_Orders,M_PMI_Comp_Main_Raw_Material_Purchase_Price,M_PMI_Comp_New_Export_Orders,M_PMI_Comp_New_Orders,M_PMI_Comp_Producer_Prices,M_PMI_Comp_Production,M_PMI_Comp_Purchasing_Volume,M_PMI_Comp_Raw_Materials_Inventory,M_PMI_Comp_Supplier_Delivery_Time,Manufacturing_PMI,NM_PMI_Comp_Charge_Price,NM_PMI_Comp_Employment,NM_PMI_Comp_Expected_Business_Activities,NM_PMI_Comp_In_Hand_Orders,NM_PMI_Comp_Intermediate_Input_Price,NM_PMI_Comp_Inventory,NM_PMI_Comp_New_Export_Orders,NM_PMI_Comp_New_Orders,NM_PMI_Comp_Supplier_Delivery_Time,Non_Manufacturing_PMI,Services_PMI,Chemical_Fertilizers_Manufactured_(actual_weight)_Accumulated_YoY,Crude_Steel_Accumulated_YoY,Real_Estate_Floor_Space_of_Commercialized_Buildings_Sold_Accumulated_YoY,Motor_Vehicles_Accumulated_YoY,EU_Aggregated_Gas_Storage_Inventory,EU_Aggregated_LNG_System_Inventory,high_temperature,low_temperature,Natural_Gas_US_Henry_Hub_Gas
2004-07-31,41.47,43.72,8.11,,299561,374651,1041,1584930,1668490,6681150,374.352,62.23,130.78,73116.8,,10139.7,89.96,1101.72,1887.36,6403.15,0.8325,1240.34,151.1,189.1,1.26,89.3261,143.2,155.6,98.5822,100.385,98.8814,101.519,100.12,101.104,100.134,37.1565,100.655,99.2779,99.5611,101.167,99.9678,100.824,100.72,99.7781,100.66,100.669,101.109,100.787,99.197,101.687,100.681,99.0424,99.6083,99.4106,99.3685,99.4246,99.4305,101.044,101.16,99.7504,98.8391,99.9988,99.518,99.0848,99.3401,99.7138,98.6167,99.237,99.0002,101.544,100.532,100.402,100.014,100.012,100.869,100.232,100.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,59,5.935
2004-08-31,39.8,42.23,8.18,,300740,360244,1063,1577960,1654090,7004570,366.958,65.18,129.29,61494.9,,10173.9,88.94,1104.24,1838.1,6454.22,0.8206,1232.41,151.5,189.2,1.43,99.2887,143.7,159.3,98.5275,100.347,98.7408,101.301,100.117,101.069,100.152,39.2895,100.739,99.3107,99.6066,101.195,99.9898,100.672,100.733,99.7815,100.59,100.472,101.028,100.723,99.02,101.475,100.464,99.0682,99.7758,99.345,99.3747,99.4697,99.4884,100.996,101.106,99.8213,98.9124,99.9731,99.4291,99.0279,99.3461,99.7719,98.7186,99.2722,98.7318,101.726,100.486,100.359,100.027,99.9975,100.854,100.188,100.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,57,5.40773
2004-09-30,47.76,49.56,7.97,,287583,344621,1073,1482150,1550380,7310460,433.297,66.45,140.9,73090.3,,10080.3,87.36,1114.58,1896.84,6570.25,0.8044,1271.83,152.9,189.8,1.61,98.4656,144.2,149.6,98.4705,100.292,98.6475,101.086,100.133,101.018,100.13,42.2619,100.834,99.3581,99.6985,101.207,100.001,100.498,100.711,99.8111,100.51,100.264,100.921,100.617,98.8968,101.237,100.203,99.0911,100.004,99.2915,99.4141,99.4943,99.5294,100.917,100.988,99.9452,99.0452,99.9665,99.3411,99.0409,99.423,99.806,98.8296,99.2991,98.6529,101.891,100.46,100.308,100.086,99.965,100.823,100.117,100.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,48,5.16714
2004-10-31,48.16,51.78,7.6,1.947,287786,335533,1068,1557220,1620420,7548210,458.547,67.87,135,82023,,10027.5,84.91,1130.2,1974.99,6692.71,0.7822,1311.39,158.6,190.8,1.76,107.284,146.5,160.6,98.4218,100.214,98.6058,100.894,100.156,100.951,100.063,41.2401,100.94,99.4094,99.8367,101.224,99.9985,100.315,100.654,99.8623,100.427,100.068,100.801,100.504,98.8532,101.004,99.9282,99.1117,100.263,99.2499,99.4801,99.4966,99.5521,100.808,100.815,100.084,99.2219,99.9771,99.2682,99.0942,99.5573,99.8211,98.944,99.3143,98.7493,101.993,100.42,100.243,100.175,99.9154,100.779,100.018,100.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.81465341,37.29987154,36.15990309,32.77130595,,,74,40,6.37857
2004-11-30,44.23,49.16,7.42,2.032,327506,368685,1077,1782800,1583720,7479370,436.597,71.31,145.99,66611.4,,10428,81.82,1173.82,2096.81,7005.72,0.7523,1406.08,163.8,191.7,1.93,122.651,146.1,179.1,98.4003,100.114,98.6457,100.735,100.156,100.872,100.006,43.3226,101.058,99.4765,99.9973,101.263,99.9805,100.134,100.572,99.931,100.35,99.9063,100.682,100.392,98.9005,100.788,99.6674,99.1319,100.501,99.227,99.5724,99.4764,99.5567,100.673,100.649,100.212,99.4212,100.001,99.2215,99.1692,99.724,99.8252,99.0575,99.327,98.9687,102.007,100.368,100.171,100.261,99.8499,100.735,99.9178,100.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.97091613,36.57967561,35.97911497,31.39950509,,,65,25,6.187
2004-12-31,40.38,43.36,7.36,1.972,349489,413128,1064,2327730,1626830,6897200,380.921,68.98,147.87,53559.1,,10783,80.85,1211.92,2175.44,7250.06,0.7376,1434.34,162.3,191.7,2.16,126.698,145,169.2,98.4128,99.9941,98.7883,100.593,100.118,100.781,100.008,41.8554,101.19,99.5606,100.153,101.297,99.9507,99.9634,100.482,100.017,100.287,99.7767,100.576,100.285,99.0314,100.592,99.4455,99.1549,100.682,99.2238,99.6633,99.435,99.5453,100.524,100.515,100.284,99.6161,100.03,99.2051,99.2546,99.8799,99.8247,99.1661,99.3529,99.238,101.909,100.297,100.091,100.319,99.7712,100.699,99.8413,100.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79683555,36.09394746,91.63517158,28.22600543,,,60,6,6.5819
2005-01-31,44.51,48.25,7.47,1.974,347187,405016,1075,2561860,1632680,6199290,420.821,66.39,146.09,54648.4,954.88,10489.9,83.6,1181.27,2062.41,7089.83,0.7673,1428.39,157.2,191.6,2.28,106.55,146.2,163.3,98.4505,99.8562,99.036,100.448,100.051,100.683,100.045,42.4387,101.329,99.6407,100.296,101.278,99.9159,99.7734,100.396,100.118,100.241,99.6479,100.492,100.192,99.2229,100.411,99.294,99.1837,100.826,99.2019,99.7425,99.3745,99.524,100.374,100.408,100.261,99.7735,100.06,99.2116,99.3429,99.9948,99.8231,99.2659,99.4102,99.4774,101.697,100.223,99.9836,100.34,99.6843,100.667,99.8155,100.524,,,48.5,,46.6,54.3,46.6,63.7,58.3,60.7,,57.6,59,50.1,50.7,54.7,,,,,,,,,,,,,,,,,,62,-2,6.152
2005-02-28,50.13,51.75,7.58,2,302957,356495,1083,2242990,1498280,5768940,448.014,68.5,153.86,57702.3,1039.99,10766.2,82.51,1203.6,2051.72,7321.23,0.7556,1509.44,161.8,192.4,2.5,106.965,147,166.2,98.5037,99.7041,99.3323,100.31,99.9627,100.582,100.091,43.1508,101.472,99.6837,100.412,101.2,99.9045,99.5626,100.322,100.235,100.206,99.4943,100.425,100.116,99.4208,100.239,99.2117,99.2213,100.912,99.1819,99.8149,99.2972,99.4979,100.219,100.301,100.144,99.8696,100.09,99.2267,99.4234,100.065,99.8201,99.3561,99.4825,99.5668,101.391,100.171,99.8477,100.323,99.5949,100.627,99.8471,100.463,,,49.7,,47.4,55.2,49.8,64.8,59.9,61.5,,55.6,60,47.8,50.6,54.5,,,,,,,,,,,,4.179870228,28.26159322,16.87770931,6.216216216,,,54,13,6.13842
2005-03-31,53.22,55.31,7.59,2.104,333485,379650,1118,2205790,1687350,5484330,474.297,67.09,154.27,64845.2,942.2,10503.8,84.06,1180.59,1999.23,7167.53,0.7713,1459.7,163.5,193.1,2.63,109.94,148.9,176,98.56,99.5528,99.5768,100.194,99.8945,100.484,100.191,42.0975,101.616,99.6913,100.483,101.082,99.9157,99.3841,100.248,100.346,100.184,99.3198,100.362,100.05,99.579,100.069,99.1977,99.2698,100.949,99.1964,99.9006,99.2061,99.4713,100.06,100.183,99.9679,99.9013,100.119,99.2441,99.4858,100.091,99.8119,99.4388,99.5501,99.4924,101.034,100.165,99.7084,100.279,99.508,100.591,99.902,100.385,,,51.7,,46.9,56.9,50.6,71.5,63.9,63.5,,65.2,62.8,47.7,50.2,57.9,,,,,,,,,,,,3.791291291,26.54920526,21.10691241,3.750937734,,,54,10.9,6.95545
2005-04-30,50.61,49.2,7.65,,278501,326147,1163,1724880,1614610,5699060,422.136,67.86,151.05,55058,932.39,10192.5,84.43,1156.85,1921.65,7008.32,0.7768,1439.49,166.7,193.7,2.79,106.626,149.6,184.3,98.6155,99.4358,99.7158,100.116,99.8469,100.389,100.367,44.5616,101.765,99.6805,100.502,100.955,99.9287,99.2919,100.172,100.426,100.17,99.1835,100.29,100.003,99.7056,99.8843,99.233,99.3305,100.945,99.2551,100.038,99.1049,99.4487,99.9143,100.069,99.8082,99.8977,100.152,99.2704,99.5388,100.092,99.7931,99.5172,99.6134,99.3102,100.688,100.196,99.6038,100.217,99.4284,100.571,99.9647,100.328,,,51.8,,46.5,54.2,50.9,65.2,60.3,61.3,,62.7,61,48.4,50.4,56.7,,,,,,,,,,,,4.847654913,30.60185413,16.02351347,7.84,,,86,33,7.17571
2005-05-31,49.3,52.08,7.84,,281172,333997,1170,1522610,1652080,6075520,426.402,64.79,150.28,52467.1,855.95,10467.5,87.76,1191.5,2068.22,7134.33,0.8124,1472.58,163.3,193.6,3,85.6661,149.4,177.9,98.6656,99.3782,99.757,100.103,99.8097,100.3,100.628,47.4893,101.916,99.669,100.485,100.84,99.9176,99.3001,100.103,100.467,100.16,99.1256,100.215,99.9863,99.8362,99.6936,99.3345,99.403,100.898,99.3717,100.208,98.9973,99.4341,99.7973,99.9826,99.6974,99.8943,100.194,99.3388,99.6143,100.099,99.7629,99.5952,99.6798,99.0762,100.399,100.245,99.5581,100.15,99.3596,100.581,100.061,100.316,,,50,,45.8,49.4,47.9,53.5,58.2,55.6,,57,54.1,45.2,50.5,52.9,,,,,,,,,,,,8.498099906,31.03544516,14.13630899,8.29015544,,,78,40,6.47381
2005-06-30,55.36,56.63,8.38,,265332,321710,1208,1534120,1611740,6398740,455.493,67.6,160.98,57151.2,878.69,10275,89.11,1191.33,2056.96,7217.78,0.8262,1544.41,163.7,193.7,3.04,56.9682,149.6,178.1,98.7181,99.3918,99.7611,100.168,99.7921,100.22,100.911,46.4583,102.067,99.6708,100.453,100.71,99.8727,99.3947,100.087,100.463,100.154,99.1684,100.149,100.012,100.007,99.5148,99.4969,99.4864,100.81,99.5398,100.361,98.887,99.4305,99.7233,99.9562,99.6387,99.9154,100.243,99.4865,99.74,100.131,99.7243,99.6751,99.7317,98.8519,100.182,100.306,99.5849,100.105,99.304,100.628,100.216,100.348,,,49.9,,48.1,49.8,48.4,49.8,56.1,53.4,,55.7,53.2,44.2,50.7,51.7,,,,,,,,,,,,8.810393829,32.15657039,13.86388614,10.64139942,,,94,48,7.18455
2005-07-31,59.77,60.71,8.6,,332683,386093,1226,1686610,1627430,6653210,478.647,66.47,175.32,64092.9,888.16,10640.9,89.35,1234.18,2184.83,7476.66,0.8244,1604.63,172.8,194.9,3.26,35.145,151,193.4,98.7796,99.4759,99.7842,100.283,99.7966,100.149,101.161,55.1397,102.213,99.7072,100.422,100.477,99.7983,99.565,100.133,100.415,100.153,99.3211,100.101,100.089,100.22,99.3571,99.6689,99.579,100.707,99.7272,100.494,98.7787,99.441,99.6942,100.003,99.6375,99.9643,100.299,99.7349,99.9175,100.185,99.6837,99.758,99.7738,98.6743,100.041,100.354,99.6846,100.087,99.2636,100.713,100.42,100.399,,,50.8,,46.6,50.9,46.4,50.6,52.8,53.2,,53.3,51.3,43.7,51.7,51.1,,,,,,,,,,,,9.653378877,32.04099852,23.09073034,12.94987147,,,94,56,7.6165
2005-08-31,66.8,68.63,8.71,,308175,351805,1227,1695100,1619410,6865100,534.462,66.82,177.41,89799.8,927.92,10481.6,87.58,1220.33,2152.09,7496.09,0.8101,1655.95,183.5,196.1,3.5,34.1112,151.8,203.6,98.8565,99.6118,99.8632,100.415,99.8241,100.088,101.303,50.2972,102.349,99.7961,100.384,100.147,99.706,99.7664,100.235,100.342,100.166,99.5786,100.067,100.2,100.441,99.219,99.829,99.6789,100.588,99.912,100.672,98.6772,99.467,99.6964,100.138,99.6976,100.04,100.36,100.092,100.132,100.254,99.6507,99.8464,99.8003,98.5645,99.9675,100.37,99.8392,100.091,99.2387,100.822,100.652,100.472,,,51.8,,44.2,49.1,47.7,53.7,52.9,55,,55.8,53.3,44.3,51.1,52.6,,,,,,,,,,,,8.925318761,32.1916117,100.067325,13.43624929,,,96,60,9.52478
